facility_id,scene_id,datetime,cloud_cover,self_href,data_href
akcansa-buyukcekmece,ENMAP01-____L2A-DT0000196528_20260525T093246Z_004_V010506_20260526T153030Z,2026-05-25T09:32:48.560409Z,1.0,/ida/hyperspectral/EnMAP/L2A/2026/05/25/DT0000196528/04/ENMAP01-____L2A-DT0000196528_20260525T093246Z_004_V010506_20260526T153030Z/ENMAP01-____L2A-DT0000196528_20260525T093246Z_004_V010506_20260526T153030Z_stac.json,https://download.geoservice.dlr.de/ENMAP/files/L2A/2026/05/25/DT0000196528/04/ENMAP01-____L2A-DT0000196528_20260525T093246Z_004_V010506_20260526T153030Z/ENMAP01-____L2A-DT0000196528_20260525T093246Z_004_V010506_20260526T153030Z-METADATA.XML
akcansa-buyukcekmece,ENMAP01-____L2A-DT0000146188_20250805T093556Z_003_V010502_20250808T230834Z,2025-08-05T09:35:56Z,0.0,/geoservice/repository/ENMAP/L2A/2025/08/05/DT0000146188/03/ENMAP01-____L2A-DT0000146188_20250805T093556Z_003_V010502_20250808T230834Z_stac.json,https://download.geoservice.dlr.de/ENMAP/files/L2A/2025/08/05/DT0000146188/03/ENMAP01-____L2A-DT0000146188_20250805T093556Z_003_V010502_20250808T230834Z-METADATA.XML
akcansa-buyukcekmece,ENMAP01-____L2A-DT0000146188_20250805T093552Z_002_V010502_20250808T230834Z,2025-08-05T09:35:52Z,10.0,/geoservice/repository/ENMAP/L2A/2025/08/05/DT0000146188/02/ENMAP01-____L2A-DT0000146188_20250805T093552Z_002_V010502_20250808T230834Z_stac.json,https://download.geoservice.dlr.de/ENMAP/files/L2A/2025/08/05/DT0000146188/02/ENMAP01-____L2A-DT0000146188_20250805T093552Z_002_V010502_20250808T230834Z-METADATA.XML
akcansa-buyukcekmece,ENMAP01-____L2A-DT0000070635_20240425T092858Z_004_V010402_20240429T021322Z,2024-04-25T09:28:58Z,6.0,https://geoservice.dlr.de/eoc/ogc/stac/v1/collections/ENMAP_HSI_L2A/items/ENMAP01-____L2A-DT0000070635_20240425T092858Z_004_V010402_20240429T021322Z,https://download.geoservice.dlr.de/ENMAP/files/L2A/2024/04/25/DT0000070635/04/ENMAP01-____L2A-DT0000070635_20240425T092858Z_004_V010402_20240429T021322Z-METADATA.XML
akcansa-buyukcekmece,ENMAP01-____L2A-DT0000070635_20240425T092858Z_004_V010502_20260318T115014Z,2024-04-25T09:29:00.582839Z,6.0,/ida/hyperspectral/EnMAP/L2A/2024/04/25/DT0000070635/04/ENMAP01-____L2A-DT0000070635_20240425T092858Z_004_V010502_20260318T115014Z/ENMAP01-____L2A-DT0000070635_20240425T092858Z_004_V010502_20260318T115014Z_stac.json,https://download.geoservice.dlr.de/ENMAP/files/L2A/2024/04/25/DT0000070635/04/ENMAP01-____L2A-DT0000070635_20240425T092858Z_004_V010502_20260318T115014Z/ENMAP01-____L2A-DT0000070635_20240425T092858Z_004_V010502_20260318T115014Z-METADATA.XML
akcansa-canakkale,ENMAP01-____L2A-DT0000164848_20251125T093942Z_006_V010505_20251130T123446Z,2025-11-25T09:39:42Z,0.0,/geoservice/repository/ENMAP/L2A/2025/11/25/DT0000164848/06/ENMAP01-____L2A-DT0000164848_20251125T093942Z_006_V010505_20251130T123446Z_stac.json,https://download.geoservice.dlr.de/ENMAP/files/L2A/2025/11/25/DT0000164848/06/ENMAP01-____L2A-DT0000164848_20251125T093942Z_006_V010505_20251130T123446Z-METADATA.XML
akcansa-canakkale,ENMAP01-____L2A-DT0000160883_20251029T094015Z_006_V010505_20251111T112910Z,2025-10-29T09:40:15Z,0.0,/geoservice/repository/ENMAP/L2A/2025/10/29/DT0000160883/06/ENMAP01-____L2A-DT0000160883_20251029T094015Z_006_V010505_20251111T112910Z_stac.json,https://download.geoservice.dlr.de/ENMAP/files/L2A/2025/10/29/DT0000160883/06/ENMAP01-____L2A-DT0000160883_20251029T094015Z_006_V010505_20251111T112910Z-METADATA.XML
akcansa-canakkale,ENMAP01-____L2A-DT0000150619_20250905T094021Z_006_V010502_20250911T094401Z,2025-09-05T09:40:21Z,3.0,/geoservice/repository/ENMAP/L2A/2025/09/05/DT0000150619/06/ENMAP01-____L2A-DT0000150619_20250905T094021Z_006_V010502_20250911T094401Z_stac.json,https://download.geoservice.dlr.de/ENMAP/files/L2A/2025/09/05/DT0000150619/06/ENMAP01-____L2A-DT0000150619_20250905T094021Z_006_V010502_20250911T094401Z-METADATA.XML
akcansa-canakkale,ENMAP01-____L2A-DT0000146514_20250809T093954Z_006_V010502_20250816T071909Z,2025-08-09T09:39:54Z,0.0,/geoservice/repository/ENMAP/L2A/2025/08/09/DT0000146514/06/ENMAP01-____L2A-DT0000146514_20250809T093954Z_006_V010502_20250816T071909Z_stac.json,https://download.geoservice.dlr.de/ENMAP/files/L2A/2025/08/09/DT0000146514/06/ENMAP01-____L2A-DT0000146514_20250809T093954Z_006_V010502_20250816T071909Z-METADATA.XML
akcansa-canakkale,ENMAP01-____L2A-DT0000141074_20250713T093945Z_006_V010502_20250717T193828Z,2025-07-13T09:39:45Z,0.0,/geoservice/repository/ENMAP/L2A/2025/07/13/DT0000141074/06/ENMAP01-____L2A-DT0000141074_20250713T093945Z_006_V010502_20250717T193828Z_stac.json,https://download.geoservice.dlr.de/ENMAP/files/L2A/2025/07/13/DT0000141074/06/ENMAP01-____L2A-DT0000141074_20250713T093945Z_006_V010502_20250717T193828Z-METADATA.XML
akcansa-canakkale,ENMAP01-____L2A-DT0000136242_20250616T094028Z_006_V010502_20250621T052511Z,2025-06-16T09:40:28Z,0.0,/geoservice/repository/ENMAP/L2A/2025/06/16/DT0000136242/06/ENMAP01-____L2A-DT0000136242_20250616T094028Z_006_V010502_20250621T052511Z_stac.json,https://download.geoservice.dlr.de/ENMAP/files/L2A/2025/06/16/DT0000136242/06/ENMAP01-____L2A-DT0000136242_20250616T094028Z_006_V010502_20250621T052511Z-METADATA.XML
akcansa-canakkale,ENMAP01-____L2A-DT0000130873_20250520T094027Z_006_V010502_20250525T203051Z,2025-05-20T09:40:27Z,0.0,/geoservice/repository/ENMAP/L2A/2025/05/20/DT0000130873/06/ENMAP01-____L2A-DT0000130873_20250520T094027Z_006_V010502_20250525T203051Z_stac.json,https://download.geoservice.dlr.de/ENMAP/files/L2A/2025/05/20/DT0000130873/06/ENMAP01-____L2A-DT0000130873_20250520T094027Z_006_V010502_20250525T203051Z-METADATA.XML
akcansa-canakkale,ENMAP01-____L2A-DT0000125725_20250423T093951Z_006_V010502_20250428T111014Z,2025-04-23T09:39:51Z,0.0,/geoservice/repository/ENMAP/L2A/2025/04/23/DT0000125725/06/ENMAP01-____L2A-DT0000125725_20250423T093951Z_006_V010502_20250428T111014Z_stac.json,https://download.geoservice.dlr.de/ENMAP/files/L2A/2025/04/23/DT0000125725/06/ENMAP01-____L2A-DT0000125725_20250423T093951Z_006_V010502_20250428T111014Z-METADATA.XML
akcansa-canakkale,ENMAP01-____L2A-DT0000099036_20241016T094010Z_019_V010501_20241022T123104Z,2024-10-16T09:40:10Z,4.0,https://geoservice.dlr.de/eoc/ogc/stac/v1/collections/ENMAP_HSI_L2A/items/ENMAP01-____L2A-DT0000099036_20241016T094010Z_019_V010501_20241022T123104Z,https://download.geoservice.dlr.de/ENMAP/files/L2A/2024/10/16/DT0000099036/19/ENMAP01-____L2A-DT0000099036_20241016T094010Z_019_V010501_20241022T123104Z-METADATA.XML
akcansa-canakkale,ENMAP01-____L2A-DT0000075910_20240603T093954Z_019_V010402_20240614T080841Z,2024-06-03T09:39:54Z,0.0,https://geoservice.dlr.de/eoc/ogc/stac/v1/collections/ENMAP_HSI_L2A/items/ENMAP01-____L2A-DT0000075910_20240603T093954Z_019_V010402_20240614T080841Z,https://download.geoservice.dlr.de/ENMAP/files/L2A/2024/06/03/DT0000075910/19/ENMAP01-____L2A-DT0000075910_20240603T093954Z_019_V010402_20240614T080841Z-METADATA.XML
akcansa-canakkale,ENMAP01-____L2A-DT0000075910_20240603T093954Z_019_V010502_20260406T074818Z,2024-06-03T09:39:56.332109Z,0.0,/ida/hyperspectral/EnMAP/L2A/2024/06/03/DT0000075910/19/ENMAP01-____L2A-DT0000075910_20240603T093954Z_019_V010502_20260406T074818Z/ENMAP01-____L2A-DT0000075910_20240603T093954Z_019_V010502_20260406T074818Z_stac.json,https://download.geoservice.dlr.de/ENMAP/files/L2A/2024/06/03/DT0000075910/19/ENMAP01-____L2A-DT0000075910_20240603T093954Z_019_V010502_20260406T074818Z/ENMAP01-____L2A-DT0000075910_20240603T093954Z_019_V010502_20260406T074818Z-METADATA.XML
akcansa-ladik,ENMAP01-____L2A-DT0000141553_20250708T091043Z_003_V010502_20250711T021735Z,2025-07-08T09:10:43Z,0.0,/geoservice/repository/ENMAP/L2A/2025/07/08/DT0000141553/03/ENMAP01-____L2A-DT0000141553_20250708T091043Z_003_V010502_20250711T021735Z_stac.json,https://download.geoservice.dlr.de/ENMAP/files/L2A/2025/07/08/DT0000141553/03/ENMAP01-____L2A-DT0000141553_20250708T091043Z_003_V010502_20250711T021735Z-METADATA.XML
akcansa-ladik,ENMAP01-____L2A-DT0000077893_20240617T090403Z_004_V010402_20240622T155419Z,2024-06-17T09:04:03Z,3.0,https://geoservice.dlr.de/eoc/ogc/stac/v1/collections/ENMAP_HSI_L2A/items/ENMAP01-____L2A-DT0000077893_20240617T090403Z_004_V010402_20240622T155419Z,https://download.geoservice.dlr.de/ENMAP/files/L2A/2024/06/17/DT0000077893/04/ENMAP01-____L2A-DT0000077893_20240617T090403Z_004_V010402_20240622T155419Z-METADATA.XML
akcansa-ladik,ENMAP01-____L2A-DT0000077893_20240617T090403Z_004_V010502_20260411T033043Z,2024-06-17T09:04:05.644344Z,3.0,/ida/hyperspectral/EnMAP/L2A/2024/06/17/DT0000077893/04/ENMAP01-____L2A-DT0000077893_20240617T090403Z_004_V010502_20260411T033043Z/ENMAP01-____L2A-DT0000077893_20240617T090403Z_004_V010502_20260411T033043Z_stac.json,https://download.geoservice.dlr.de/ENMAP/files/L2A/2024/06/17/DT0000077893/04/ENMAP01-____L2A-DT0000077893_20240617T090403Z_004_V010502_20260411T033043Z/ENMAP01-____L2A-DT0000077893_20240617T090403Z_004_V010502_20260411T033043Z-METADATA.XML
nuh-hereke,ENMAP01-____L2A-DT0000164236_20251117T093231Z_005_V010505_20251119T042541Z,2025-11-17T09:32:31Z,1.0,/geoservice/repository/ENMAP/L2A/2025/11/17/DT0000164236/05/ENMAP01-____L2A-DT0000164236_20251117T093231Z_005_V010505_20251119T042541Z_stac.json,https://download.geoservice.dlr.de/ENMAP/files/L2A/2025/11/17/DT0000164236/05/ENMAP01-____L2A-DT0000164236_20251117T093231Z_005_V010505_20251119T042541Z-METADATA.XML
nuh-hereke,ENMAP01-____L2A-DT0000094515_20240926T092134Z_001_V010402_20240927T025537Z,2024-09-26T09:21:34Z,0.0,https://geoservice.dlr.de/eoc/ogc/stac/v1/collections/ENMAP_HSI_L2A/items/ENMAP01-____L2A-DT0000094515_20240926T092134Z_001_V010402_20240927T025537Z,https://download.geoservice.dlr.de/ENMAP/files/L2A/2024/09/26/DT0000094515/01/ENMAP01-____L2A-DT0000094515_20240926T092134Z_001_V010402_20240927T025537Z-METADATA.XML
nuh-hereke,ENMAP01-____L2A-DT0000094515_20240926T092134Z_001_V010502_20260524T160231Z,2024-09-26T09:21:37.095214Z,0.0,/ida/hyperspectral/EnMAP/L2A/2024/09/26/DT0000094515/01/ENMAP01-____L2A-DT0000094515_20240926T092134Z_001_V010502_20260524T160231Z/ENMAP01-____L2A-DT0000094515_20240926T092134Z_001_V010502_20260524T160231Z_stac.json,https://download.geoservice.dlr.de/ENMAP/files/L2A/2024/09/26/DT0000094515/01/ENMAP01-____L2A-DT0000094515_20240926T092134Z_001_V010502_20260524T160231Z/ENMAP01-____L2A-DT0000094515_20240926T092134Z_001_V010502_20260524T160231Z-METADATA.XML
nuh-hereke,ENMAP01-____L2A-DT0000088481_20240819T093606Z_001_V010402_20240819T231511Z,2024-08-19T09:36:09.111246Z,1.0,/ida/hyperspectral/EnMAP/L2A/2024/08/19/DT0000088481/01/ENMAP01-____L2A-DT0000088481_20240819T093606Z_001_V010402_20240819T231511Z/ENMAP01-____L2A-DT0000088481_20240819T093606Z_001_V010402_20240819T231511Z_stac.json,https://download.geoservice.dlr.de/ENMAP/files/L2A/2024/08/19/DT0000088481/01/ENMAP01-____L2A-DT0000088481_20240819T093606Z_001_V010402_20240819T231511Z/ENMAP01-____L2A-DT0000088481_20240819T093606Z_001_V010402_20240819T231511Z-METADATA.XML
nuh-hereke,ENMAP01-____L2A-DT0000088481_20240819T093606Z_001_V010502_20260511T034648Z,2024-08-19T09:36:09.111246Z,1.0,/ida/hyperspectral/EnMAP/L2A/2024/08/19/DT0000088481/01/ENMAP01-____L2A-DT0000088481_20240819T093606Z_001_V010502_20260511T034648Z/ENMAP01-____L2A-DT0000088481_20240819T093606Z_001_V010502_20260511T034648Z_stac.json,https://download.geoservice.dlr.de/ENMAP/files/L2A/2024/08/19/DT0000088481/01/ENMAP01-____L2A-DT0000088481_20240819T093606Z_001_V010502_20260511T034648Z/ENMAP01-____L2A-DT0000088481_20240819T093606Z_001_V010502_20260511T034648Z-METADATA.XML
nuh-hereke,ENMAP01-____L2A-DT0000062521_20240223T092139Z_004_V010502_20260217T125944Z,2024-02-23T09:21:41.606143Z,1.0,/ida/hyperspectral/EnMAP/L2A/2024/02/23/DT0000062521/04/ENMAP01-____L2A-DT0000062521_20240223T092139Z_004_V010502_20260217T125944Z/ENMAP01-____L2A-DT0000062521_20240223T092139Z_004_V010502_20260217T125944Z_stac.json,https://download.geoservice.dlr.de/ENMAP/files/L2A/2024/02/23/DT0000062521/04/ENMAP01-____L2A-DT0000062521_20240223T092139Z_004_V010502_20260217T125944Z/ENMAP01-____L2A-DT0000062521_20240223T092139Z_004_V010502_20260217T125944Z-METADATA.XML
nuh-hereke,ENMAP01-____L2A-DT0000062521_20240223T092134Z_003_V010502_20260217T124728Z,2024-02-23T09:21:37.154039Z,1.0,/ida/hyperspectral/EnMAP/L2A/2024/02/23/DT0000062521/03/ENMAP01-____L2A-DT0000062521_20240223T092134Z_003_V010502_20260217T124728Z/ENMAP01-____L2A-DT0000062521_20240223T092134Z_003_V010502_20260217T124728Z_stac.json,https://download.geoservice.dlr.de/ENMAP/files/L2A/2024/02/23/DT0000062521/03/ENMAP01-____L2A-DT0000062521_20240223T092134Z_003_V010502_20260217T124728Z/ENMAP01-____L2A-DT0000062521_20240223T092134Z_003_V010502_20260217T124728Z-METADATA.XML
bursa-cimento,ENMAP01-____L2A-DT0000149963_20250824T092926Z_005_V010502_20250828T052448Z,2025-08-24T09:29:26Z,10.0,/geoservice/repository/ENMAP/L2A/2025/08/24/DT0000149963/05/ENMAP01-____L2A-DT0000149963_20250824T092926Z_005_V010502_20250828T052448Z_stac.json,https://download.geoservice.dlr.de/ENMAP/files/L2A/2025/08/24/DT0000149963/05/ENMAP01-____L2A-DT0000149963_20250824T092926Z_005_V010502_20250828T052448Z-METADATA.XML
bursa-cimento,ENMAP01-____L2A-DT0000125876_20250411T092924Z_004_V010502_20250413T201311Z,2025-04-11T09:29:24Z,6.0,/geoservice/repository/ENMAP/L2A/2025/04/11/DT0000125876/04/ENMAP01-____L2A-DT0000125876_20250411T092924Z_004_V010502_20250413T201311Z_stac.json,https://download.geoservice.dlr.de/ENMAP/files/L2A/2025/04/11/DT0000125876/04/ENMAP01-____L2A-DT0000125876_20250411T092924Z_004_V010502_20250413T201311Z-METADATA.XML
bursa-cimento,ENMAP01-____L2A-DT0000050962_20231115T092941Z_007_V010502_20250225T150448Z,2023-11-15T09:29:41Z,1.0,/geoservice/repository/ENMAP/L2A/2023/11/15/DT0000050962/07/ENMAP01-____L2A-DT0000050962_20231115T092941Z_007_V010502_20250225T150448Z_stac.json,https://download.geoservice.dlr.de/ENMAP/files/L2A/2023/11/15/DT0000050962/07/ENMAP01-____L2A-DT0000050962_20231115T092941Z_007_V010502_20250225T150448Z-METADATA.XML
bursa-cimento,ENMAP01-____L2A-DT0000050962_20231115T092941Z_007_V010502_20250916T000939Z,2023-11-15T09:29:41Z,1.0,/geoservice/repository/ENMAP/L2A/2023/11/15/DT0000050962/07/ENMAP01-____L2A-DT0000050962_20231115T092941Z_007_V010502_20250916T000939Z_stac.json,https://download.geoservice.dlr.de/ENMAP/files/L2A/2023/11/15/DT0000050962/07/ENMAP01-____L2A-DT0000050962_20231115T092941Z_007_V010502_20250916T000939Z-METADATA.XML
bursa-cimento,ENMAP01-____L2A-DT0000050962_20231115T092941Z_007_V010502_20260111T185413Z,2023-11-15T09:29:41Z,1.0,/geoservice/repository/ENMAP/L2A/2023/11/15/DT0000050962/07/ENMAP01-____L2A-DT0000050962_20231115T092941Z_007_V010502_20260111T185413Z_stac.json,https://download.geoservice.dlr.de/ENMAP/files/L2A/2023/11/15/DT0000050962/07/ENMAP01-____L2A-DT0000050962_20231115T092941Z_007_V010502_20260111T185413Z-METADATA.XML
bursa-cimento,ENMAP01-____L2A-DT0000004969_20221029T092531Z_006_V010502_20250905T180835Z,2022-10-29T09:25:31Z,0.0,/geoservice/repository/ENMAP/L2A/2022/10/29/DT0000004969/06/ENMAP01-____L2A-DT0000004969_20221029T092531Z_006_V010502_20250905T180835Z_stac.json,https://download.geoservice.dlr.de/ENMAP/files/L2A/2022/10/29/DT0000004969/06/ENMAP01-____L2A-DT0000004969_20221029T092531Z_006_V010502_20250905T180835Z-METADATA.XML
bursa-cimento,ENMAP01-____L2A-DT0000004969_20221029T092531Z_006_V010502_20251109T122037Z,2022-10-29T09:25:31Z,0.0,/geoservice/repository/ENMAP/L2A/2022/10/29/DT0000004969/06/ENMAP01-____L2A-DT0000004969_20221029T092531Z_006_V010502_20251109T122037Z_stac.json,https://download.geoservice.dlr.de/ENMAP/files/L2A/2022/10/29/DT0000004969/06/ENMAP01-____L2A-DT0000004969_20221029T092531Z_006_V010502_20251109T122037Z-METADATA.XML
bursa-cimento,ENMAP01-____L2A-DT0000004969_20221029T092526Z_005_V010502_20250905T181438Z,2022-10-29T09:25:26Z,2.0,/geoservice/repository/ENMAP/L2A/2022/10/29/DT0000004969/05/ENMAP01-____L2A-DT0000004969_20221029T092526Z_005_V010502_20250905T181438Z_stac.json,https://download.geoservice.dlr.de/ENMAP/files/L2A/2022/10/29/DT0000004969/05/ENMAP01-____L2A-DT0000004969_20221029T092526Z_005_V010502_20250905T181438Z-METADATA.XML
